ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_22n,AH_22n,HH_22s,AH_22s,HH_23n,AH_23n,HH_23s,AH_23s,Cycle22n,Cycle22s,Cycle23n,Cycle23s,Hale,AntiHale
856,1992,5,6,15,44,35,22,4.43e+21,2.13e+19,-18.108,154.72,1.8757,-2.6e+21,1.13e+19,-17.732,149.85,1.4223,4.6467,1,728000.0,1992.3,57.09640969448079,-17.92,152.285,1.63e+19,7.03e+21,True,-4.63904044611086,-4.63904044611086,False,False,True,False,False,False,False,False,False,True,False,False,True,False
861,1992,5,11,14,35,59,24,3.39e+21,9.24e+18,6.575,163.89,1.103,-5.63e+21,1.6e+19,5.4133,170.62,1.768,6.7894,-1,728000.0,1992.4,50.23942674832188,5.994149999999999,167.255,1.262e+19,9.02e+21,True,-9.846400145164823,170.1535998548352,True,False,False,False,False,False,False,False,True,False,False,False,True,False
862,1992,5,12,15,24,10,26,1.61e+21,8.11e+18,8.6657,100.88,1.3642,-2.94e+21,1.5e+19,10.168,106.31,1.5037,5.5653,-1,728000.0,1992.4,48.07286136688766,9.41685,103.595,1.1555e+19,4.55e+21,True,15.66593622528474,-164.33406377471528,True,False,False,False,False,False,False,False,True,False,False,False,True,False
861,1992,5,11,14,35,59,27,6.72e+21,1.83e+19,-18.997,84.11200000000001,1.5695,-5.49e+21,2.5e+19,-21.482,78.597,2.7284,5.7395,1,728000.0,1992.4,65.80273550544841,-20.2395,81.3545,2.165e+19,1.221e+22,True,25.652272163534764,25.652272163534764,False,False,True,False,False,False,False,False,False,True,False,False,True,False
864,1992,5,14,14,26,58,29,1.02e+22,4.38e+19,-25.249,45.276,3.1091,-5.75e+21,1.53e+19,-24.462,27.837,1.5465,15.832,1,728000.0,1992.4,76.87652437513029,-24.8555,36.5565,2.955e+19,1.595e+22,True,-2.8473004723713937,-2.8473004723713937,False,False,True,False,False,False,False,False,False,True,False,False,True,False
864,1992,5,14,14,26,58,30,3.29e+21,1.24e+19,-6.6047,41.67,1.3954,-2.22e+21,7.92e+18,-5.5934,36.507,1.1294,5.2333,1,728000.0,1992.4,45.077710678338576,-6.09905,39.0885,1.016e+19,5.51e+21,True,-11.14398266691373,-11.14398266691373,False,False,True,False,False,False,False,False,False,True,False,False,True,False
867,1992,5,17,14,30,28,31,5.53e+21,2.85e+19,-17.852,12.215,2.4695,-7.36e+21,3.06e+19,-18.808,2.1805,2.8417,9.5716,1,728000.0,1992.4,76.87652437513029,-18.33,7.19775,2.955e+19,1.289e+22,True,5.731222970686364,5.731222970686364,False,False,True,False,False,False,False,False,False,True,False,False,True,False
868,1992,5,18,15,46,51,32,1.63e+21,7.63e+18,-14.622,43.127,0.98447,-1.26e+21,4.92e+18,-14.483,40.632,0.8195399999999999,2.4195,1,728000.0,1992.4,35.42597916783671,-14.552499999999998,41.87949999999999,6.275e+18,2.89e+21,False,-3.294196437527981,-3.294196437527981,False,False,True,False,False,False,False,False,False,True,False,False,True,False
868,1992,5,18,15,46,51,33,5.02e+21,2.7e+19,-4.55,-6.1983,2.573,-3.21e+21,1.36e+19,-14.986,-13.390999999999998,1.8497,12.61,1,728000.0,1992.4,63.71812928829597,-9.768,-9.79465,2.03e+19,8.23e+21,True,55.81454522358931,55.81454522358931,False,False,True,False,False,False,False,False,False,True,False,False,True,False
868,1992,5,18,15,46,51,34,7e+21,2.88e+19,10.035,-20.17,2.3898,-1.28e+22,5.28e+19,7.5228,-7.4896,2.8525,12.78,-1,728000.0,1992.4,90.33271832508971,8.7789,-13.8298,4.08e+19,1.98e+22,True,-11.335564478726166,168.66443552127384,True,False,False,False,False,False,False,False,True,False,False,False,True,False
870,1992,5,20,15,56,2,35,2.41e+21,1.41e+19,-13.48,6.825,1.5173,-1.97e+21,1.12e+19,-16.408,1.4340000000000002,1.2437,5.9745,1,728000.0,1992.4,50.29910535983717,-14.944,4.1295,1.265e+19,4.38e+21,True,29.342080002600376,29.342080002600376,False,False,True,False,False,False,False,False,False,True,False,False,True,False
876,1992,5,26,20,14,56,36,1.61e+22,4.61e+19,21.716,-37.299,2.659,-2.85e+22,3.44e+19,22.845,-32.489000000000004,2.1742,4.5914,-1,728000.0,1992.4,89.72179222463181,22.2805,-34.894000000000005,4.025e+19,4.46e+22,True,14.233317373067376,-165.7666826269326,True,False,False,False,False,False,False,False,True,False,False,False,True,False
873,1992,5,23,16,2,47,38,3.94e+21,1.64e+19,14.523,-78.979,1.5286,-4.88e+21,1.93e+19,13.984000000000002,-74.11399999999999,1.5517,4.7462,-1,728000.0,1992.4,59.74947698515862,14.2535,-76.5465,1.785e+19,8.82e+21,True,-6.521192821532281,173.47880717846775,True,False,False,False,False,False,False,False,True,False,False,False,True,False
873,1992,5,23,16,2,47,39,3.76e+21,1.23e+19,-21.878,-93.451,1.3991,-7.55e+21,1.75e+19,-23.149,-100.79,1.4856,6.8957,1,728000.0,1992.4,54.58937625582472,-22.5135,-97.1205,1.49e+19,1.131e+22,True,10.618088847133327,10.618088847133327,False,False,True,False,False,False,False,False,False,True,False,False,True,False
873,1992,5,23,16,2,47,41,1.2e+22,4.83e+19,-5.2619,-82.338,3.0369,-9.9e+21,2.95e+19,-9.1533,-91.14,2.4943,9.5583,1,728000.0,1992.4,88.2043082847998,-7.207599999999999,-86.739,3.89e+19,2.19e+22,True,24.018965442492185,24.018965442492185,False,False,True,False,False,False,False,False,False,True,False,False,True,False
876,1992,5,26,20,14,56,42,4.29e+21,2.78e+19,-3.76,-64.806,2.6038,-2.92e+21,1.42e+19,-5.9791,-71.388,1.4625,6.9229,1,728000.0,1992.4,64.8074069840786,-4.86955,-68.09700000000001,2.1e+19,7.21e+21,True,18.694178595851195,18.694178595851195,False,False,True,False,False,False,False,False,False,True,False,False,True,False
883,1992,6,2,16,11,59,46,2.17e+21,9.66e+18,12.252,125.82,1.1544,-2.64e+21,1.11e+19,11.399,130.03,1.2957,4.205,-1,728000.0,1992.4,45.56314299957807,11.825500000000002,127.925,1.038e+19,4.81e+21,True,-11.695397383408777,168.30460261659124,True,False,False,False,False,False,False,False,True,False,False,False,True,False
884,1992,6,3,15,47,24,48,8.29e+20,3.67e+18,6.9334,155.48,0.76913,-2.11e+21,1.01e+19,7.6261,157.35,1.0896,1.9761,-1,728000.0,1992.4,37.10795063055895,7.27975,156.415,6.885e+18,2.939e+21,False,20.477541854594136,-159.52245814540586,True,False,False,False,False,False,False,False,True,False,False,False,True,False
886,1992,6,5,14,2,53,52,5.9e+20,3.31e+18,3.0888,109.5,0.65249,-6.78e+20,3.47e+18,4.8922,111.87,0.64386,2.9784,-1,728000.0,1992.4,26.03843313258308,3.9905,110.685,3.39e+18,1.268e+21,False,37.335574877867145,-142.66442512213283,True,False,False,False,False,False,False,False,True,False,False,False,True,False
886,1992,6,5,14,2,53,55,6.21e+21,2.73e+19,-9.8904,82.42399999999999,2.1708,-6.37e+21,1.9e+19,-10.284,76.817,1.6668,5.5335,1,728000.0,1992.4,68.044103344816,-10.0872,79.62049999999999,2.315e+19,1.258e+22,True,4.078293210271637,4.078293210271637,False,False,True,False,False,False,False,False,False,True,False,False,True,False
887,1992,6,6,14,22,25,60,2.65e+21,1.45e+19,-29.72,-25.301,1.8689,-3.39e+21,1.98e+19,-35.839,-35.309,2.2701,10.394,1,728000.0,1992.4,58.566201857385295,-32.7795,-30.305,1.715e+19,6.04e+21,True,36.02509054885112,36.02509054885112,False,False,True,False,False,False,False,False,False,True,False,False,True,False
887,1992,6,6,14,22,25,85,1.09e+22,3.18e+19,8.4424,-90.179,2.1054,-6.26e+21,1.42e+19,8.1364,-82.14399999999999,1.6886,7.9568,-1,728000.0,1992.4,67.82329983125268,8.2894,-86.16149999999999,2.3e+19,1.7159999999999998e+22,True,-2.2039669040291763,177.7960330959708,True,False,False,False,False,False,False,False,True,False,False,False,True,False
892,1992,6,11,13,54,51,91,1.28e+21,4.73e+18,-10.557,61.25,0.85056,-1.39e+21,4.67e+18,-11.171,59.245,0.78399,2.0627,1,728000.0,1992.4,30.659419433511783,-10.864,60.2475,4.7e+18,2.67e+21,False,17.3186856671458,17.3186856671458,False,False,True,False,False,False,False,False,False,True,False,False,True,False
892,1992,6,11,13,54,51,92,1.71e+22,4.86e+19,-19.131,19.041,3.3263,-2.94e+22,7.79e+19,-14.806,15.565,3.457,5.4544,1,728000.0,1992.4,112.47221879201992,-16.9685,17.303,6.325e+19,4.65e+22,True,-52.45013501569756,-52.45013501569756,False,False,True,False,False,False,False,False,False,True,False,False,True,False
887,1992,6,6,14,22,25,94,4.87e+21,1.67e+19,7.9258,-57.166,1.5305,-7.84e+21,2.33e+19,7.1593,-50.944,1.9347,6.2148,-1,728000.0,1992.4,63.24555320336759,7.54255,-54.055,2e+19,1.271e+22,True,-7.083666673296086,172.91633332670392,True,False,False,False,False,False,False,False,True,False,False,False,True,False
893,1992,6,12,14,50,14,95,1.08e+22,3.16e+19,10.636,128.08,2.3548,-1.38e+22,4.04e+19,10.630999999999998,133.48,2.5284,5.3077,-1,728000.0,1992.4,84.8528137423857,10.633499999999998,130.78,3.6e+19,2.46e+22,True,-0.0539785721501343,179.94602142784984,True,False,False,False,False,False,False,False,True,False,False,False,True,False
894,1992,6,13,13,52,17,106,2.36e+21,1.36e+19,-5.067,95.525,1.5764,-1.45e+21,6.85e+18,-5.3317,90.755,0.95394,4.7578,1,728000.0,1992.4,45.22167621838005,-5.19935,93.14,1.0225e+19,3.81e+21,True,3.1893335092222377,3.1893335092222377,False,False,True,False,False,False,False,False,False,True,False,False,True,False
895,1992,6,14,14,29,56,114,1.11e+21,5.9e+18,6.1624,32.526,0.99501,-1.22e+21,5.95e+18,7.8068,34.97,1.0239,2.9311,-1,728000.0,1992.5,34.42382895611701,6.9846,33.748,5.925e+18,2.33e+21,False,34.1318505518201,-145.8681494481799,True,False,False,False,False,False,False,False,True,False,False,False,True,False
895,1992,6,14,14,29,56,117,6.3e+21,8.23e+18,-11.16,-14.694,0.95386,-6.08e+21,1.63e+19,-14.171,-20.209,1.574,6.1659,1,728000.0,1992.5,49.52776998815917,-12.6655,-17.4515,1.2265e+19,1.238e+22,True,29.23059102716048,29.23059102716048,False,False,True,False,False,False,False,False,False,True,False,False,True,False
