Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Tilt_rel,Tilt_abs,HH_21n,AH_21n,HH_21s,AH_21s,HH_22n,AH_22n,HH_22s,AH_22s,Cycle21n,Cycle21s,Cycle22n,Cycle22s,Hale,AntiHale,Date,Instrument,HH_23n,AH_23n,HH_23s,AH_23s,Cycle23n,Cycle23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s
1980,2,27,15,8,59.0,1327,1.34e+21,6.6e+18,3.9022,-102.7,0.8489700000000001,-2.27e+21,9.98e+18,4.4191,-106.71,1.3871,4.0242,1,723000.0,1980.2,40.718546143004666,4.16065,-104.705,8.29e+18,3.61e+21,-7.364276138222308,-7.364276138222308,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-02-27 15:08:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,2,27,15,8,59.0,1334,1.04e+22,4.01e+19,1.3874,-155.53,2.753,-1.36e+22,5.29e+19,0.5471699999999999,-159.66,2.5815,4.2096,1,723000.0,1980.2,96.43650760992956,0.967285,-157.595,4.65e+19,2.4e+22,11.501222330003644,11.501222330003644,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-02-27 15:08:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,2,28,14,55,28.0,1335,1.19e+22,6.74e+19,12.845,-165.98,4.0024,-1.72e+22,6.37e+19,14.630999999999998,-170.66,3.2079,4.8838,1,723000.0,1980.2,114.49890829173874,13.738,-168.32,6.555e+19,2.91e+22,-21.44802824182788,-21.44802824182788,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-02-28 14:55:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,2,26,14,44,20.0,1336,5.6e+21,2.58e+19,-13.677,-141.44,1.9607,-1.07e+22,4.59e+19,-12.96,-136.5,3.2031,4.8585,-1,723000.0,1980.2,84.6758525200662,-13.3185,-138.97,3.585e+19,1.63e+22,8.483311828280865,-171.51668817171912,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-02-26 14:44:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,4,14,34,56.0,1337,1.91e+21,1.29e+19,23.013,-144.96,1.9328,-1.27e+21,7.31e+18,24.205,-149.08,1.1179,3.9636,1,723000.0,1980.2,44.95553358597804,23.609,-147.02,1.0105e+19,3.18e+21,-17.523438784865963,-17.523438784865963,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-04 14:34:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,1,17,31,26.0,1338,4.24e+21,9.45e+18,-27.108,-75.42399999999999,1.0165,-9.31e+21,3.34e+19,-26.155,-71.462,1.9893,3.6679,-1,723000.0,1980.2,65.45991139621258,-26.631500000000003,-73.443,2.1425e+19,1.355e+22,15.060572908057022,-164.93942709194295,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-01 17:31:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,2,17,37,20.0,1340,5.88e+21,3.18e+19,9.7916,156.23,2.3359,-4.47e+21,3.32e+19,11.504,149.34,2.4459,6.9837,1,723000.0,1980.2,80.62257748298549,10.6478,152.785,3.25e+19,1.035e+22,-14.191898584569213,-14.191898584569213,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-02 17:37:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,4,14,34,56.0,1341,2.98e+21,2.1e+19,26.468000000000004,140.41,1.6762,-3.21e+21,2.21e+19,26.125,135.47,1.8416,4.4386,1,723000.0,1980.2,65.6505902486794,26.2965,137.94,2.155e+19,6.19e+21,4.428604463170233,4.428604463170233,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-04 14:34:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,4,14,34,56.0,1342,8.72e+21,3.47e+19,-13.970999999999998,136.13,2.4812,-1.31e+22,4.31e+19,-10.722,139.71,3.7078,3.534,-1,723000.0,1980.2,88.2043082847998,-12.3465,137.92000000000002,3.89e+19,2.182e+22,42.8929516277089,-137.1070483722911,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-04 14:34:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,4,14,34,56.0,1343,2.9e+21,1.32e+19,8.811,132.7,1.4371,-6.16e+21,3.39e+19,8.2699,126.21,2.209,6.4342,1,723000.0,1980.2,68.62943974709395,8.54045,129.45499999999998,2.355e+19,9.06e+21,4.819170636191516,4.819170636191516,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-04 14:34:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,5,14,47,44.0,1345,5.97e+21,2.54e+19,12.056,109.8,1.8962,-3.41e+21,1.93e+19,11.089,114.27,1.5771,4.4838,-1,723000.0,1980.2,66.85805860178712,11.5725,112.035,2.235e+19,9.38e+21,-12.452224541496845,167.54777545850317,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1980-03-05 14:47:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,2,27,15,8,59.0,1348,5.59e+21,4.36e+19,-15.829,-150.57,3.0376,-1.77e+21,1.13e+19,-19.631,-141.97,1.4285,9.0294,-1,723000.0,1980.2,74.09453421137081,-17.73,-146.26999999999998,2.745e+19,7.36e+21,-24.89783437414066,155.10216562585936,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-02-27 15:08:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,8,14,46,35.0,1349,6.98e+21,3.79e+19,-19.477,-169.52,2.2184,-1.08e+22,5.7e+19,-18.273,-162.85,2.9772,6.4252,-1,723000.0,1980.2,97.41663102366044,-18.875,-166.185,4.745e+19,1.778e+22,10.800430406171587,-169.19956959382844,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-08 14:46:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,8,14,46,35.0,1352,2.19e+21,5.57e+18,12.898,83.01799999999999,0.80219,-6.93e+21,3.28e+19,14.913,77.311,2.3702,5.8948,1,723000.0,1980.2,61.94352266379432,13.9055,80.1645,1.9185e+19,9.12e+21,-19.9880978327876,-19.9880978327876,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-08 14:46:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,8,14,46,35.0,1353,2.02e+21,1.49e+19,-31.254,66.564,1.4287,-2.65e+21,1.57e+19,-31.351,71.051,1.5145,3.8346,-1,723000.0,1980.2,55.31726674375732,-31.3025,68.8075,1.53e+19,4.67e+21,-1.4493258344082127,178.5506741655918,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-08 14:46:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,9,15,22,17.0,1354,1.01e+22,5.57e+19,-17.697,62.229,2.9258,-4.88e+21,2.08e+19,-17.002,70.385,2.134,7.7983,-1,723000.0,1980.2,87.4642784226795,-17.3495,66.307,3.825e+19,1.498e+22,5.1015584419878905,-174.89844155801214,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-09 15:22:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,13,21,28,53.0,1357,4.02e+21,2.8e+19,-10.039,27.258000000000003,2.3093,-2.75e+21,2.23e+19,-10.629,32.651,1.7566,5.3379,-1,723000.0,1980.2,70.92249290598858,-10.334,29.9545,2.515e+19,6.77e+21,-6.345503127143229,173.65449687285678,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-13 21:28:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,13,21,28,53.0,1358,1.44e+22,9.49e+19,15.616,57.01,4.7535,-5.31e+21,3.9e+19,10.656,47.465,3.7601,9.8353,1,723000.0,1980.2,115.71516754514076,13.136,52.2375,6.695e+19,1.971e+22,28.084669841642214,28.084669841642214,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-13 21:28:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,13,21,28,53.0,1359,1.88e+21,1.16e+19,-12.829,41.349,1.1225,-1.17e+22,8.48e+19,-15.812,43.269,4.726,1.8794,-1,723000.0,1980.2,98.18350166906862,-14.3205,42.309,4.82e+19,1.358e+22,-58.05037683297056,121.94962316702946,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-13 21:28:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,12,14,44,11.0,1360,8.45e+21,4.89e+19,-21.776,22.554,3.0118,-2.53e+21,1.83e+19,-22.704,31.023000000000003,2.5322,7.8925,-1,723000.0,1980.2,81.97560612767678,-22.24,26.788500000000003,3.36e+19,1.098e+22,-6.751425004596444,173.24857499540357,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-12 14:44:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
