ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_23n,AH_23n,HH_23s,AH_23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle23n,Cycle23s,Cycle24n,Cycle24s,Hale,AntiHale
1442,1996,12,13,1,36,5.483,19,4.45e+21,1.16e+19,-28.91,-6.0114,1.2111,-7.9e+21,2.61e+19,-27.098000000000003,-0.3058099999999999,1.8582,5.3528,-1,729000.0,1996.9,61.40032573203501,-28.004,-3.158605,1.885e+19,1.235e+22,True,19.78359062944042,-160.2164093705596,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1448,1996,12,19,1,39,5.405,20,7.32e+21,3.16e+19,5.867999999999999,-110.76,5.0854,-8.6e+21,2.45e+19,6.5907,-107.78,2.059,3.0543,-1,729000.0,1997.0,74.89993324429602,6.22935,-109.27,2.805e+19,1.592e+22,True,13.709923527316745,-166.29007647268327,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1444,1996,12,15,1,36,5.462000000000001,21,3.94e+21,1.95e+19,-13.259,-126.71,1.7421,-5.18e+21,2.45e+19,-11.612,-131.02,1.8175,4.5265,1,729000.0,1997.0,66.332495807108,-12.4355,-128.865,2.2e+19,9.12e+21,True,-21.37116148639061,-21.37116148639061,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1447,1996,12,18,1,36,5.421,22,1.26e+21,5.96e+18,-29.535,-135.94,0.98232,-8.7e+20,3.6e+18,-28.302,-132.79,0.73627,3.0221,-1,729000.0,1997.0,30.919249667480614,-28.9185,-134.365,4.78e+18,2.13e+21,False,24.093682763397208,-155.9063172366028,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1449,1996,12,20,1,39,5.388,23,5.56e+21,2.69e+19,-4.9607,176.23,2.0056,-5.79e+21,2.97e+19,-1.4207,171.92,2.3547,5.5707,1,729000.0,1997.0,75.23297149521612,-3.1907,174.075,2.83e+19,1.135e+22,True,-39.44142919113011,-39.44142919113011,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1464,1997,1,4,1,36,5.086,24,4.36e+21,2.2e+19,-33.14,-19.801,2.4269,-3.65e+21,1.93e+19,-29.892,-9.1645,2.1568,9.626,-1,729000.0,1997.0,64.26507605223851,-31.516,-14.48275,2.065e+19,8.01e+21,True,19.70753458705437,-160.29246541294566,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1466,1997,1,6,1,36,5.038,25,1.75e+21,6.08e+18,-2.7836,14.725,0.8668799999999999,-1.52e+21,7.25e+18,-3.3016,12.595,1.0708,2.1888,1,729000.0,1997.0,36.51027252705737,-3.0426,13.66,6.665e+18,3.27e+21,False,13.687131385673338,13.687131385673338,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1476,1997,1,16,1,36,4.752,26,1.87e+21,6.67e+18,-5.6266,-157.85,0.93086,-2.22e+21,8.02e+18,-5.2869,-161.33,1.0634,3.4846,1,729000.0,1997.0,38.3275357934736,-5.45675,-159.59,7.345e+18,4.09e+21,True,-5.600480342463,-5.600480342463,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1486,1997,1,26,1,39,4.4830000000000005,27,2.56e+21,1.12e+19,-10.739,47.06,1.676,-1.45e+21,9.14e+18,-12.539,43.151,1.2202,4.231,1,729000.0,1997.1,45.09988913511872,-11.639,45.105500000000006,1.017e+19,4.01e+21,True,25.180227035810265,25.180227035810265,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1490,1997,1,30,1,39,4.406000000000001,28,2.24e+21,1.06e+19,3.7272,3.1252,1.7124,-2.17e+21,8.14e+18,3.3577,6.4547,1.4052,3.3437,-1,729000.0,1997.1,43.28972164382672,3.54245,4.78995,9.37e+18,4.41e+21,True,-6.344660875837559,173.65533912416242,False,False,False,False,False,False,False,False,False,False,False,False,False,False
