ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s,Hale,AntiHale
1076,2011,12,13,21,46,10.7,562,1.7e+22,6.59e+19,24.142,-63.223,3.0427,-1.33e+22,5.31e+19,20.414,-56.856,3.4302,6.9702,-1,735000.0,2012.0,109.08712114635712,22.278,-60.0395,5.95e+19,3.03e+22,True,-32.323604321946405,147.6763956780536,True,False,False,False,True,False,True,False
1078,2011,12,15,21,46,10.6,563,2.81e+21,9.23e+18,11.899,-64.172,1.2432,-2.19e+21,5.17e+18,12.091,-58.117,0.87826,5.9257,-1,735000.0,2012.0,37.94733192202055,11.995,-61.1445,7.2e+18,5e+21,True,1.8567148278538403,-178.14328517214616,True,False,False,False,True,False,True,False
1083,2011,12,20,21,46,10.4,564,2.29e+21,4.95e+18,-18.651,-93.304,0.77227,-2.12e+21,7.24e+18,-17.552,-94.772,1.2126,1.7761,1,735000.0,2012.0,34.91418050019218,-18.1015,-94.038,6.095e+18,4.41e+21,True,-38.22463118538744,-38.22463118538744,False,False,True,False,False,True,True,False
1081,2011,12,18,21,46,10.4,565,6.43e+20,2.18e+18,-29.666,-37.642,0.69824,-4.38e+20,1.66e+18,-28.797,-38.409,0.5274800000000001,1.0972,1,735000.0,2012.0,19.595917942265427,-29.2315,-38.0255,1.92e+18,1.081e+21,False,-52.395641306088585,-52.395641306088585,False,False,True,False,False,True,True,False
1081,2011,12,18,21,46,10.4,566,6.79e+20,3.17e+18,-16.928,-34.707,0.6804399999999999,-8.15e+20,3.13e+18,-18.247,-37.53,0.7326199999999999,2.9971,1,735000.0,2012.0,25.09980079602227,-17.5875,-36.1185,3.15e+18,1.494e+21,False,26.111527674054432,26.111527674054432,False,False,True,False,False,True,True,False
1088,2011,12,25,21,46,10.2,567,8.97e+21,1.8e+19,-17.584,-97.191,1.6361,-5.98e+21,2.35e+19,-18.378,-104.14,1.8108,6.6585,1,735000.0,2012.0,64.42049363362564,-17.981,-100.6655,2.075e+19,1.4949999999999998e+22,True,6.850016347532439,6.850016347532439,False,False,True,False,False,True,True,False
1082,2011,12,19,21,46,10.4,569,6.61e+20,2.19e+18,2.7633,-151.79,0.4960699999999999,-1.68e+21,4.41e+18,2.7683,-150.9,0.78804,0.8924799999999999,-1,735000.0,2012.0,25.690465157330262,2.7658,-151.345,3.3e+18,2.341e+21,False,0.3222584005183799,-179.67774159948164,True,False,False,False,True,False,True,False
1090,2011,12,27,21,46,10.2,570,6.73e+21,1.5e+19,-21.188,-130.1,1.7206,-7.75e+21,2.15e+19,-21.045,-133.36,2.2998,3.0438,1,735000.0,2012.0,60.41522986797286,-21.1165,-131.73000000000002,1.825e+19,1.448e+22,True,-2.6922138163921545,-2.6922138163921545,False,False,True,False,False,True,True,False
1084,2011,12,21,21,46,10.3,571,1.56e+22,4.52e+19,13.058,-163.41,2.396,-8.3e+21,1.38e+19,12.169,-159.12,1.3131,4.2723,-1,735000.0,2012.0,76.81145747868608,12.6135,-161.265,2.95e+19,2.39e+22,True,-11.988737984533088,168.0112620154669,True,False,False,False,True,False,True,False
1087,2011,12,24,21,46,10.3,572,1.19e+21,4.81e+18,-30.217,-134.19,1.229,-1.39e+21,4.48e+18,-32.543,-137.85,0.75058,3.8975,1,735000.0,2012.0,30.479501308256346,-31.38,-136.01999999999998,4.645e+18,2.58e+21,False,36.664021581535806,36.664021581535806,False,False,True,False,False,True,True,False
1084,2011,12,21,21,46,10.3,574,1.95e+21,9.49e+18,6.5144,-158.05,1.3607,-8.28e+20,1.86e+18,2.8005,-150.39,0.49315,8.4882,-1,735000.0,2012.0,33.689761055846034,4.65745,-154.22,5.675e+18,2.778e+21,False,-25.94058726864845,154.05941273135156,True,False,False,False,True,False,True,False
1088,2011,12,25,21,46,10.2,575,3.35e+21,7.67e+18,-19.072,147.97,1.0631,-2e+21,8.06e+18,-18.352,145.66,1.121,2.3024,1,735000.0,2012.0,39.66106403010389,-18.712,146.815,7.865e+18,5.35e+21,True,-18.215475582308727,-18.215475582308727,False,False,True,False,False,True,True,False
1088,2011,12,25,21,46,10.2,577,2.96e+21,7.2e+18,-16.742,152.54,0.98246,-2.42e+21,9.18e+18,-16.945,149.83,1.1805,2.5975,1,735000.0,2012.0,40.47221268969613,-16.8435,151.185,8.19e+18,5.38e+21,True,4.475151626171039,4.475151626171039,False,False,True,False,False,True,True,False
1098,2012,1,4,21,46,10.1,579,5.51e+21,2.06e+19,10.275,119.25,2.0253,-1.05e+22,2.73e+19,10.018,125.16,1.8384,5.8226,-1,735000.0,2012.0,69.20982589199312,10.1465,122.205,2.395e+19,1.601e+22,True,-2.52948322322864,177.47051677677135,True,False,False,False,True,False,True,False
1091,2011,12,28,21,46,10.2,580,7.74e+20,2.75e+18,-19.166,144.19,0.62584,-2.29e+21,8.72e+18,-19.671,140.09,1.1799,3.8978,1,735000.0,2012.0,33.8673884437522,-19.4185,142.14,5.735e+18,3.064e+21,True,7.440707663634342,7.440707663634342,False,False,True,False,False,True,True,False
1088,2011,12,25,21,46,10.2,584,5.9e+20,1.81e+18,-19.072,143.09,0.45908,-3.53e+21,1.39e+19,-19.329,139.54,1.4401,3.3643,1,735000.0,2012.0,39.63584236521283,-19.2005,141.315,7.855e+18,4.12e+21,True,4.383641729133393,4.383641729133393,False,False,True,False,False,True,True,False
1092,2011,12,29,21,46,10.1,588,6.75e+21,2.2e+19,-24.657,105.12,3.1289,-1.08e+22,5.1e+19,-20.166,102.6,4.0791,5.0603,1,735000.0,2012.0,85.44003745317532,-22.4115,103.86,3.65e+19,1.755e+22,True,-62.58240557528562,-62.58240557528562,False,False,True,False,False,True,True,False
1093,2011,12,30,21,46,10.1,593,1.07e+22,1.77e+19,-20.101,87.07799999999999,2.9768,-2.06e+22,6.26e+19,-23.687,78.485,3.1121,8.7402,1,735000.0,2012.0,89.61026726887941,-21.894,82.7815,4.015e+19,3.1300000000000003e+22,True,24.21606355014951,24.21606355014951,False,False,True,False,False,True,True,False
1098,2012,1,4,21,46,10.1,598,1.54e+22,4.88e+19,12.604,9.9676,2.3222,-1.09e+22,1.58e+19,11.671,14.544,1.307,4.5701,-1,735000.0,2012.0,80.37412518964048,12.1375,12.2558,3.23e+19,2.63e+22,True,-11.77928754291524,168.22071245708477,True,False,False,False,True,False,True,False
1103,2012,1,9,21,46,10.1,599,1.54e+22,3.32e+19,17.12,51.209,2.1894,-2.53e+22,5.78e+19,16.365,58.213,3.0705,6.7491,-1,735000.0,2012.0,95.39392014169457,16.7425,54.711,4.55e+19,4.07e+22,True,-6.422599070643282,173.57740092935674,True,False,False,False,True,False,True,False
1101,2012,1,7,21,46,10.1,600,1.5e+21,4.31e+18,21.396,68.404,0.75805,-5.26e+21,2.27e+19,19.291,72.89,2.3132,4.7026,-1,735000.0,2012.0,51.97114584074514,20.3435,70.64699999999999,1.3505e+19,6.76e+21,True,-26.585823705049894,153.41417629495012,True,False,False,False,True,False,True,False
1101,2012,1,7,21,46,10.1,603,6.12e+20,2.76e+18,17.683,-4.9295,0.73907,-2.86e+20,1e+18,20.02,-2.4707,0.35485,3.2975,-1,735000.0,2012.0,19.39071942966532,18.8515,-3.7001,1.88e+18,8.98e+20,False,45.12397896774355,-134.87602103225646,True,False,False,False,True,False,True,False
1102,2012,1,8,21,46,10.1,605,5.67e+21,2.47e+19,20.209,-50.749,1.865,-7.03e+21,9.42e+18,20.967,-47.519,1.0119,3.1172,-1,735000.0,2012.0,58.412327466040935,20.588,-49.134,1.706e+19,1.27e+22,True,14.073197752592202,-165.9268022474078,True,False,False,False,True,False,True,False
1104,2012,1,10,21,46,10.1,606,1.9e+21,9.42e+18,10.704,-78.661,1.2092,-2.26e+21,1.2e+19,11.234000000000002,-75.46600000000001,1.5577,3.1812,-1,735000.0,2012.0,46.281745861624536,10.969,-77.0635,1.071e+19,4.16e+21,True,9.590748278727183,-170.40925172127282,True,False,False,False,True,False,True,False
1104,2012,1,10,21,46,10.1,607,1.9e+21,9.42e+18,10.704,-78.661,1.2092,-2.26e+21,1.2e+19,11.234000000000002,-75.46600000000001,1.5577,3.1812,-1,735000.0,2012.0,46.281745861624536,10.969,-77.0635,1.071e+19,4.16e+21,True,9.590748278727183,-170.40925172127282,True,False,False,False,True,False,True,False
1106,2012,1,12,21,46,10.2,608,6.06e+21,2.42e+19,12.064,10.122,2.1454,-1.15e+22,2.91e+19,11.736,14.931,2.1305,4.7163,-1,735000.0,2012.0,73.00684899377592,11.9,12.5265,2.665e+19,1.7560000000000002e+22,True,-3.987264145691334,176.01273585430866,True,False,False,False,True,False,True,False
1104,2012,1,10,21,46,10.1,609,1.85e+22,4.01e+19,17.248,50.818000000000005,2.35,-8.15e+21,2.5e+19,17.102999999999998,53.552,2.5453,2.6164,-1,735000.0,2012.0,80.68457101577724,17.1755,52.185,3.255e+19,2.665e+22,True,-3.177307449436029,176.82269255056397,True,False,False,False,True,False,True,False
1108,2012,1,14,21,46,10.2,610,5.8e+21,2.08e+19,25.598000000000003,-74.149,2.338,-2.96e+21,6.54e+18,25.233,-71.438,0.92132,2.4754,-1,735000.0,2012.0,52.28766584960548,25.4155,-72.7935,1.367e+19,8.76e+21,True,-8.4782597372132,171.52174026278684,True,False,False,False,True,False,True,False
